promoter_name,instagram_handle,instagram_url,website_url,city,category,notes
Boss Creator,@boss.creator,https://www.instagram.com/boss.creator/,https://bosscreator.id,Jakarta,FESTIVAL,Penyelenggara Pestapora Festival & APMI Member
Antarasuara,@antara.suara,https://www.instagram.com/antara.suara/,https://antarasuara.com,Jakarta,CONCERT,Penyelenggara Tur Konser Sheila on 7 Tunggu Aku Di
Otello Asia,@otelloasia,https://www.instagram.com/otelloasia/,https://otelloasia.com,Jakarta,CONCERT,Penyelenggara Dewa 19 All Stars Stadium Tours
Plainsong Live,@joylandfest,https://www.instagram.com/joylandfest/,https://joylandfest.com,Bali,FESTIVAL,Penyelenggara Joyland Festival Bali & Jakarta
ALOKA,@aloka.id,https://www.instagram.com/aloka.id/,https://aloka.co.id,Jakarta,KPOP_ASIAN,Promotor Tur Artis Asia & Fan Meeting Resmi
PK Entertainment,@pkentertainment.id,https://www.instagram.com/pkentertainment.id/,https://pk-ent.com,Jakarta,CONCERT,Promotor Coldplay & Ed Sheeran Jakarta
Ismaya Live,@ismayalive,https://www.instagram.com/ismayalive/,https://ismayalive.com,Jakarta,FESTIVAL,Penyelenggara DWP & We The Fest
Sound Rhythm,@soundrhythm,https://www.instagram.com/soundrhythm/,https://soundrhythm.id,Jakarta,CONCERT,Promotor Konser Pop & Rock Internasional
New Live Entertainment,@newliveentertainment,https://www.instagram.com/newliveentertainment/,https://newliveentertainment.com,Jakarta,CONCERT,Promotor Konser Tematik & Dino Hamid
Rajawali Indonesia,@rajawaliindonesia,https://www.instagram.com/rajawaliindonesia/,https://rajawaliindonesia.com,Yogyakarta,FESTIVAL,Penyelenggara Prambanan Jazz Festival
Double Deer,@doubledeer.co,https://www.instagram.com/doubledeer.co/,https://doubledeer.co,Jakarta,ELECTRONIC,Kolektif Musik Elektronik & Showcase
PT. Tujuh Karya Sinergi,@tujuhkaryasinergi,https://www.instagram.com/tujuhkaryasinergi/,https://tksinergi.id,Jakarta,CONCERT,Promotor Pertunjukan Musik & Event Korporat
Raw Vision Collective,@rawvision.collective,https://www.instagram.com/rawvision.collective/,https://rawvision.id,Jakarta,INDIE_TOUR,Promotor Skena Underground & Musik Urban
The GoodWill Creators,@thegoodwill.creators,https://www.instagram.com/thegoodwill.creators/,https://goodwillcreators.id,Jakarta,FESTIVAL,Penyelenggara Festival Seni Kolaboratif
Rhapsodie Nusantara,@rhapsodienusantara,https://www.instagram.com/rhapsodienusantara/,https://rhapsodienusantara.id,Bandung,ORCHESTRA,Penyelenggara Konser Orkestra & Simfoni
Sukses Mandiri Kreatif,@suksesmandirikreatif,https://www.instagram.com/suksesmandirikreatif/,https://sukseskreatif.com,Surabaya,COMEDY,Penyelenggara Stand-Up Comedy Tour
Bali Live Events,@balilive.events,https://www.instagram.com/balilive.events/,https://baliliveevents.com,Denpasar,FESTIVAL,Penyelenggara Sunset Music Sessions Bali
