source_id,source_name,tier,country_market,source_type,access_method,api_availability,current_access_status,legal_tos_status,existing_adapter,adapter_gap,priority,notes
src-assoc-apmi,APMI (Asosiasi Promotor Musik Indonesia),1,Indonesia (National),OFFICIAL_ORGANIZER,FEED,STATIC_HTML_ROSTER,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Stub implementation: requires structured feed/HTML parser,P0,Apex music promoter association in Indonesia (apmi.co.id)
src-promoter-boss-creator,Boss Creator (Pestapora),1,Indonesia (Jakarta/Bandung),OFFICIAL_PROMOTER,FEED,STRUCTURED_WEB_FEED,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Requires live feed ingestion method,P0,APMI Member: official organizer of Pestapora Festival
src-promoter-antarasuara,Antarasuara (Sheila on 7 Tour),1,Indonesia (National),OFFICIAL_PROMOTER,FEED,STRUCTURED_WEB_FEED,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Requires live feed ingestion method,P0,APMI Member: Sheila on 7 Tunggu Aku Di tour organizer
src-promoter-pk-ent,PK Entertainment,1,Indonesia (Jakarta Metro),OFFICIAL_PROMOTER,FEED,STRUCTURED_WEB_FEED,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Requires live feed ingestion method,P0,APMI Member: Coldplay & Ed Sheeran tour promoter
src-promoter-isb-live,Ismaya Live,1,Indonesia (Jakarta/Bali),OFFICIAL_PROMOTER,FEED,STRUCTURED_WEB_FEED,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Requires live feed ingestion method,P0,APMI Member: DWP and We The Fest organizer
src-promoter-sound-rh,Sound Rhythm,1,Indonesia (Jakarta/Bali),OFFICIAL_PROMOTER,FEED,STRUCTURED_WEB_FEED,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Requires live feed ingestion method,P0,APMI Member: international concert promoter
src-promoter-otello-asia,Otello Asia,1,Indonesia (National),OFFICIAL_PROMOTER,FEED,STRUCTURED_WEB_FEED,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Requires live feed ingestion method,P0,APMI Member: Dewa 19 All Stars stadium tour promoter
src-promoter-plainsong,Plainsong Live (Joyland Fest),1,Indonesia (Bali/Jakarta),OFFICIAL_PROMOTER,FEED,STRUCTURED_WEB_FEED,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Requires live feed ingestion method,P0,APMI Member: Joyland Festival Bali and Jakarta
src-promoter-aloka,ALOKA,1,Indonesia (Jakarta/Tangerang),OFFICIAL_PROMOTER,FEED,STRUCTURED_WEB_FEED,PENDING,GREEN_AUTHORIZED,PromoterAdapter,Requires live feed ingestion method,P0,APMI Member: Asian pop and K-Pop promoter
src-venue-gbk,PPK Gelora Bung Karno,1,Indonesia (Jakarta),OFFICIAL_VENUE,AUTHORIZED_API,PUBLIC_CALENDAR,PENDING,GREEN_AUTHORIZED,VenueAdapter,Requires live venue calendar parser,P0,Official venue authority managing GBK stadium complex
src-argus-verified-seed,ARGUS Verified Seed Baseline,1,Indonesia (National),CURATED_SEED,FEED,INTERNAL_IMMUTABLE_FEED,ACTIVE,GREEN_AUTHORIZED,PromoterAdapter,Fully operational deterministic baseline,P0,Internal verified institutional seed ground truth
src-league-ibl,IBL Indonesia (Basketball League),1,Indonesia (National),SPORTS_ORGANIZATION,AUTHORIZED_API,PUBLIC_SCHEDULE,PENDING,GREEN_AUTHORIZED,VenueAdapter,Requires schedule feed parser,P1,National basketball league official calendar
